DocID,Paragraph
0831034,"In 1988 he published ""The Triarch ic Mind,"" which discusses three kinds of intelligence: analytical, practical and creative. (His latest book, ""Successful Intelligence,"" is due out this year.)"
0831034,"In 1988 he published ""The Triarch ic Mind,"" which discusses three kinds of intelligence: analytical, practical and creative. (His latest book, ""Successful Intelligence,"" is due out this year.)"
0831034,"In a 1971 interview in The New York Times, he predicted that an inborn lack of ability would bar those of low I.Q. from career success, creating a ""biological stratification"" into castes based on ""hereditary meritocracy."" Dr. Herrnstein expanded his views into a 1973 book, ""I.Q. and Meritocracy,"" which ignited arguments over the uses of I.Q. testing."
0720106,"A collection of tales. 10 * 8 13 THE BELL CURVE, by Richard J. Herrnstein and Charles Murray. (Free Press, $30.)"
0720106,"Jim Holt's article on ""The Bell Curve"" (Op-Ed, Oct. 19) made a number of important biological points about race and intelligence. His perspective becomes even richer if we consider the context of our evolutionary history."
0720238,"THE BELL CURVE, by Richard J. Herrnstein and Charles Murray. (Free Press, $30.) Ways in which differences in intelligence affect American life."
0720238,"THE BELL CURVE, by Richard J. Herrnstein and Charles Murray. (Free Press, $30.) Ways in which differences in intelligence affect American life."
0720238,"As a psychometrician, I welcome many aspects of Jim Holt's critique of ""The Bell Curve"" (Op-Ed, Oct. 19). But Mr. Holt uses a strategy long known to bigots who denigrate an outgroup. He clumps together all social science research and then assigns to the entire class characteristics of the most despicable members. While this may be seen as cleverness by some, it is the same brand of cleverness that makes ""The Bell Curve"" so loathsome."
0720238,"No such calls to action are urged by Mr. Rushton, the author of ""Race, Evolution, and Behavior: A Life History Perspective,"" or by Mr. Herrnstein and Mr. Murray. Nowhere do they advocate the measures championed by the eugenicists of the 1920's and 1930's, whose ideas were appropriated and perverted by the Nazis as the rationale for the Holocaust. Indeed, the authors of ""The Bell Curve"" say that the granting to any government or social institution of the power to decide who may breed and who may not is fraught with such obvious dangers as to be unacceptable."
0720238,"Others are more forthright. Michael Willis was the marketing director at the Free Press in 1994, when the company published ''The Bell Curve'' by Richard J. Herrnstein and Charles Murray.''We thought it was very much the case that both professionals and the general public bought it to have it and didn't read it,'' he says. ''We got the sense even from reviews that people basically read the first chapter and the last.''"
0720238,Daring Research or 'Social Science Pornography'?: Charles Murray
0720238,"THE BELL CURVE, by Richard J. Herrnstein and Charles Murray. (Free Press, $30.) Ways in which differences in intelligence affect American life."
0720238,"""What Do I.Q. Tests Measure? Not Intelligence"" by Richard A. Gardner (letter, Nov. 12) is such a collection of half-truths, distortions and inaccuracies that it takes a place toward the bottom among the heated attacks made against the book ""The Bell Curve,"" by Richard J. Herrnstein and Charles Murray."
0720238,"The most famous experiment in preschool enrichment -- relied on heavily by Murray-Herrnstein -- is the Perry Preschool program in the mid-1960's. About 123 black children living in poverty in Ypsilanti, Mich., with I.Q.'s below average, were divided into experimental and control groups. Those in the experimental group attended an intensive preschool progam and scored an average of 11 points higher on I.Q. tests than those in the control group. And, as Mr. Murray and Mr. Herrnstein noted in their book, the differences had faded after a few years."
0720238,"I would not be surprised to learn that Charles Murray, co-author of ""The Bell Curve,"" likes to eat at Denny's, when he's not sipping Champagne at 30,000 feet. Although the menu might not be up to the standard of food served at those private dinner parties where he expounds on the correlation of race, economic status and criminal behavior, his ideas would be equally welcome at Denny's. Murray might not even be disturbed that some Denny's patrons receive more prompt and courteous service than others. He'd probably attribute it to differences in I.Q. ROBERT J. YAES, M.D. Bronx"
0797456,"THE BELL CURVE, by Richard J. Herrnstein and Charles Murray. (Free Press, $30.) Ways in which differences in intelligence affect American life."
0797456,"The book starts with a long, somewhat discursive history of the field that pits H. H. Goddard, Charles Spearman -- of the g (for general intelligence) factor -- and other supporters of a monolithic, gene-bound intelligence against psychologists, from Raymond Cattell to Howard Gardner, who see intelligence as a mix of multiple factors. It's a story all too familiar to veterans of Psych 101. Firmly in the second camp, Mr. Perkins sees intelligence as consisting of three factors: neural intelligence (the genetic, g-producing factor), experiential intelligence (the expert's control over studied and practiced fields) and reflective intelligence. In the main part of the book he asks whether reflective intelligence -- never clearly defined, but apparently the capacity to use one's brain consciously and systematically, to make the most of one's g -- can be increased, and if so, how. He believes that training in reflective intelligence would, among other benefits, reduce the frequency with which supposedly intelligent people choose unintelligent solutions to their problems."
0732032,"On one intelligence-teaching project, in Venezuela, Mr. Perkins had as a colleague none other than Richard Herrnstein, the co-author of ""The Bell Curve,"" so the two reached diametrically opposite answers to that question on the basis of identical data. Stranger still, Mr. Perkins seems unaware of the many studies showing that subjects perform better when placed in any special program and that teachers who expect their students to be more intelligent consistently find them so, even when students have been randomly selected. How much would be left of his claims if such factors were allowed for is anyone's guess."
0732032,"Statistics are so important to the subjects under discussion that Mr. Murray and Mr. Herrnstein offer readers a short course on the interpretation of standard deviations, regression analysis and kindred matters. Their title, ""The Bell Curve,"" refers to the shape of normal distribution graphs -- bulging in the middle and thinning out at the edges -- that are used to represent large numbers of individuals sorted according to any shared characteristic -- weight, exposure to asbestos, taste in clothes or I.Q."
1109849,"The idea that you can explain the distribution of the ""goodies"" of life in this country by invoking arguments of race and genes is intellectually dishonest (""Daring Research or 'Social Science Pornography'?"" by Jason DeParle, Oct. 9). The public policy implications of ""The Bell Curve"" are merely Republican prescriptions for laissez-faire policies, with Charles Murray and Richard Herrnstein cloaking their arguments in academic garb to gain respectability. They exalt the virtues of the marketplace and see government policies as assaults on the meritocracy. They ask us to ignore or forget that this meritocracy systematically excluded women, people of color, the disabled, etc. from the competitive process. Their argument is not new. Neither is abuse of so-called scientific research in the service of mean-spirited political objectives. THOMPSON F. WILLIAMS JR. Watertown, Mass."
0997674,"THE BELL CURVE, by Richard J. Herrnstein and Charles Murray. (Free Press, $30.) Ways in which differences in intelligence affect American life."
0997674,"Some researchers who study intelligence say IQ scores around world have been increasing so fast that high proportion of people regarded as normal at turn of century would be considered way below average by today's tests; Dr Ulrich Neisser, professor at Cornell University and editor of The Rising Curve: Long-Term Gains in IQ and Related Measures, sees book as a rebuttal to The Bell Curve, 1994 book by Charles Murray and Richard J Herrnstein that linked IQ and income; worldwide pattern of rising scores in industrialized nations was discovered by James R Flynn, professor emeritus at University of Otago in New Zealand; he began looking into subject in 1980's in effort to rebut Dr Arthur Jensen, professor from University of California at Berkeley who argued that even if environments of blacks and whites were equalized, 15-point gap in IQ scores between races would only be partly eliminated; drawings (L)"
0997674,"Other researchers have confirmed Dr. Flynn's findings, and Dr.  Neisser, who ran a seminar on the phenomenon in 1996, is editing a book on the subject. The book, ''The Rising Curve: Long-Term Gains in I.Q. and Related Measures,'' is to be published this spring by the American Psychological Association."
0997674,"The largest gains were found on  Raven's Progressive Matrices,  which were first published in 1938 by John C. Raven and developed to measure abstract reasoning ability. By relying on shapes rather than words, the widely used tests are supposed to be impervious to the influence of culture and education."
0721084,"This would hardly satisfy critics of affirmative action -- notably Charles Murray, co-author of ''The Bell Curve'' -- who argue that asking poorly prepared minorities to compete in the very best colleges reinforces racial stereotypes. Mr. Murray argues that affirmative action actually harms the intended beneficiaries by increasing their chance of failure. But here again, what seems obvious is apparently not true. While the nonwhites in Mr. Kane's sample did underperform their white counterparts at elite colleges even after adjusting for socioeconomic factors, the performance gap was smaller than at unselective schools. Black or white, students from similar backgrounds who attended elite schools were more likely to finish school and had higher earnings if they did finish."
0721084,"Charles Murrays new book, ""Human Accomplishment,"" is well timed to stir debate."
0721084,"Dr. Herrnstein first set off debate on I.Q., race and class in 1971 when he published an article in The Atlantic Monthly contending that intelligence is largely inherited, so no matter what efforts were made, egalitaranism would not work."
0721084,"But bleak as ""The Bell Curve"" 's vision may be, it is not entirely new. Herrnstein has been saying similar things for two decades. And the fear that a meritocratic society will prove a dystopian one is at least a half-century old. In 1958, the British sociologist Michael Young, a member of the Labor Party, sketched a similar scenario in his novel ""The Rise of the Meritocracy."" He saw the trend leading to an armed rebellion by the year 2034."
0721084,"THE BELL CURVE, by Richard J. Herrnstein and Charles Murray. (Free Press, $30.) Ways in which differences in intelligence affect American life."
0721084,"Look again at that unpalatable first premise. Standardized tests of intelligence have been widely condemned for cultural bias, and their use as sorting devices has been discouraged by the courts as well as by liberal opinion. But whatever the tests measure, Mr. Herrnstein, who died last month, and Mr. Murray correctly remind us that the scores predict success in school for ethnic minorities as well as for whites."
0721084,"Dr. Gardner says nothing about ""The Bell Curve,"" the best seller by Richard J. Herrnstein and Charles Murray, but his own bell-curve argument provides yet another rationale for that book's dire social agenda.  ELAINE MENSH, HARRY MENSH  New York, Nov. 14  The writers are the authors of ""The I.Q. Mythology: Class, Race, Gender and Inequality"" (1992)."
0721084,"The phenomenon of the unread best seller comes to mind because of the recent publication of ''Ravelstein,'' Saul Bellow's novel about the life and death of his friend Allan Bloom. In life, Bloom was a humanities professor well known only in the academy who gained international fame in 1987 after the surprising success of his dense treatise ''The Closing of the American Mind.'' To this day, many consider it one of the prime examples of an emperor's new book."
0729187,"A highly sophisticated version of this reasoning can be found in an incendiary new book called ""The Bell Curve"" by Charles Murray, a fellow of the American Enterprise Institute, and Richard J. Herrnstein, a professor of psychology at Harvard who died of cancer last month."
1529843,"TAKEN individually, none of the propositions advanced in these books is necessarily a call to arms, but in combination they are explosive. The writers themselves, whose views have been widely known (among academics, at least) for many years, are no strangers to public rows, student boycotts, hostile demonstrations and even legal assaults. Aware of the storm of criticism their latest books may face, all four invoke mountains of statistics to fend off anticipated criticism from such critics as Stephen Jay Gould, the Harvard paleontologist who in ""The Mismeasure of Man"" (1981) charged that ""determinist arguments for ranking people according to a single scale of intelligence, no matter how numerically sophisticated, have recorded little more than social prejudice."""
1529843,"Profile of and interview with controversial social scientist Charles Murray whose latest book, Human Accomplishment: The Pursuit of Excellence in the Arts and Sciences, 800 BC to 1950, is expected to stir more ire; Murray uses relatively obscure statistical method known as historiometry to back his assertion of Western civilization's scientific and artistic superiority; photo; graphs (M)"
1529843,"Charles Murrays new book, ""Human Accomplishment,"" is well timed to stir debate."
1529843,"Published on Oct. 21 by HarperCollins and accompanied by a publicity release optimistically anointing it ''his most ambitious and controversial work yet,'' ''Human Accomplishment: The Pursuit of Excellence in the Arts and Sciences, 800 B.C. to 1950'' is well timed to stir debate. At a moment of considerable East-West tension, when the phrase ''clash of civilizations'' has rarely had greater currency, Mr. Murray has issued what he says is a mathematically precise global assessment of human achievement, a ''résumé'' of the species in which Europeans like Shakespeare, Beethoven and Einstein predominate and in which Christianity stands out as a crucial spur to excellence. Equally provocative, he maintains that the rate of Western accomplishment is currently in decline."
0723183,"And Bear in Mind (Editor's Choices of other recent books of particular interest) THE BELL CURVE: Intelligence and Class Structure in American Life, by Richard J. Herrnstein and Charles Murray. (Free Press, $30.) The evidence the authors see indicates to them that society is layered in rough accordance with I.Q."
0723183,"And Bear in Mind (Editor's Choices of other recent books of particular interest) THE BELL CURVE: Intelligence and Class Structure in American Life, by Richard J. Herrnstein and Charles Murray. (Free Press, $30.) The evidence the authors see indicates to them that society is layered in rough accordance with I.Q."
0718184,"While lots of critics have worried about rising inequality, ""The Bell Curve"" veers away from more familiar discussions by its emphasis on genes. While others use words like ""education"" or ""test scores"" to describe the sorting mechanism at work, Herrnstein and Murray use the word ""intelligence"" and stress its genetic roots. Citing studies that estimate that from 40 to 80 percent of an individual's intelligence stems from genes, the authors take a midpoint of 60 percent. (The studies refer to how much an average individual's I.Q. is affected by genes, not to the cause of interracial differences in intelligence.)"
0718184,"What his philosophy means for his readers would entail the end of expansive government and the welfare state. No more regulation of commerce. No more ''transfers of payment'' like Social Security, Medicare and food stamps. No more regulation of work places. Just a government that restrains people from injuring one another, enforces contracts and upholds what Mr. Murray defines in a strictly limited sense as the public good. A very minority position indeed, although hardly a surprise from the author of ''Losing Ground: American Social Policy 1950-1980'' and (with Richard J. Herrnstein) ''The Bell Curve: Intelligence and Class Structure in American Life.''"
0718184,"Mr. Murray and Mr. Herrnstein draw extensively from the National Longitudinal Survey of Youth, which has focused on 12,686 high school students, picked as a representative sample of the high school population, who graduated between 1980 and 1982. These students, who were tested and measured at the outset of the study in 1979, have been tracked ever since. Based on the psychometric indicators and the personal histories of these young people, the authors found various suggestive correlations and concluded that the biggest influence on the lives of the people in their sample was the ""g"" factor -- psychometricians' jargon for core intelligence."
0718184,"The I.Q. worshipers of today remain essentially unchanged from Goddard's time. Despite the impression that there is something new in ""The Bell Curve,"" its authors, Charles Murray and Richard Herrnstein, have merely reasserted the long-unproven claim that I.Q. is mainly inherited. The language is calmer, the statistical gimmicks slicker, but the truth remains the same: There exist no plausible data to make the case. Belief to the contrary rests mainly on brutal preconceptions about poverty, but also on a basic confusion between pseudo-science and the real thing. BRENT STAPLES"
0718184,"Definitions of intelligence have always been controversial, as have been tests devised to measure it quantitatively. In 1904, the British psychometrician Charles Spearman conceived of a quality he called ""g,"" or ""general factor"" of intelligence, which has remained part of the psychometrician's lexicon ever since. Spearman's idea was based on his finding that people tend to achieve similar scores on tests that may be very different in content but that contain questions requiring cognitive skill. Such questions were said to measure ""g,"" and tests that emphasized this factor rather than calling for demonstrations of learned skills are said to be ""g-loaded"" tests."
0718184,"THE BELL CURVE by Richard J. Herrnstein and Charles Murray. (Free Press, $30. (Differences in intelligence and class structure affecgting American life."
0718184,"The most insistent plea of the four authors is for freedom of debate and an end to the shroud of censorship imposed upon scientists and scholars by pressure groups and an acquiescing society. Mr. Murray and Mr. Herrnstein write that ""for the last 30 years, the concept of intelligence has been a pariah in the world of ideas,"" and that the time has come to rehabilitate rational discourse on the subject. It is hard to imagine a democratic society doing otherwise.  Malcolm W. Browne is a science reporter for The New York Times."
0718184,"Mr. Murray and Mr. Herrnstein draw extensively from the National Longitudinal Survey of Youth, which has focused on 12,686 high school students, picked as a representative sample of the high school population, who graduated between 1980 and 1982. These students, who were tested and measured at the outset of the study in 1979, have been tracked ever since. Based on the psychometric indicators and the personal histories of these young people, the authors found various suggestive correlations and concluded that the biggest influence on the lives of the people in their sample was the ""g"" factor -- psychometricians' jargon for core intelligence."
0718184,"Definitions of intelligence have always been controversial, as have been tests devised to measure it quantitatively. In 1904, the British psychometrician Charles Spearman conceived of a quality he called ""g,"" or ""general factor"" of intelligence, which has remained part of the psychometrician's lexicon ever since. Spearman's idea was based on his finding that people tend to achieve similar scores on tests that may be very different in content but that contain questions requiring cognitive skill. Such questions were said to measure ""g,"" and tests that emphasized this factor rather than calling for demonstrations of learned skills are said to be ""g-loaded"" tests."
0718184,"The debate intensified by the publication of ""The Bell Curve"" is about more than intelligence, achievement and race. It's about who and what is American, whom we choose to cherish and whom we discard. The most important campaign issue this season was immigration and how America's changing racial and ethnic composition affects the core values of our country. Proposition 187 in California was designed, among other things, to bar public schools from teaching illegal immigrants and to prevent hospitals from providing them with nonemergency medical care. Many of those who led the charge for Proposition 187 argued that the greatest danger of unchecked immigration is not to the economy, but to American culture itself."
0718184,"TAKEN individually, none of the propositions advanced in these books is necessarily a call to arms, but in combination they are explosive. The writers themselves, whose views have been widely known (among academics, at least) for many years, are no strangers to public rows, student boycotts, hostile demonstrations and even legal assaults. Aware of the storm of criticism their latest books may face, all four invoke mountains of statistics to fend off anticipated criticism from such critics as Stephen Jay Gould, the Harvard paleontologist who in ""The Mismeasure of Man"" (1981) charged that ""determinist arguments for ranking people according to a single scale of intelligence, no matter how numerically sophisticated, have recorded little more than social prejudice."""
0718184,"Seymour W. Itzkoff, whose book ""The Decline of Intelligence in America: A Strategy for National Renewal"" is the gloomiest of the group, writes: ""Our problem is simple, but oh-so-difficult to discuss, let alone accept. We are a different people than we were 50 years ago. In truth, we are not the nation that we were. Relative to the rest of the developed and developing world, we probably no longer have the intellectual capital that can profit from the available educational resources."""
0718184,"In their book, Mr. Murray and Mr. Herrnstein do not support Mr. Rushton's theories of human evolution, but they comment that ""Rushton's work is not that of a crackpot or a bigot, as many of his critics are given to charging. . . . As science, there is nothing wrong with Rushton's work in principle; we expect that time will tell whether it is right or wrong in fact."""
0718184,"""What Do I.Q. Tests Measure? Not Intelligence"" by Richard A. Gardner (letter, Nov. 12) is such a collection of half-truths, distortions and inaccuracies that it takes a place toward the bottom among the heated attacks made against the book ""The Bell Curve,"" by Richard J. Herrnstein and Charles Murray."
0718184,"THE BELL CURVE, by Richard J. Herrnstein and Charles Murray. (Free Press, $30.) Ways in which differences in intelligence affect American life."
0718184,"THE BELL CURVE, by Richard J. Herrnstein and Charles Murray. (Free Press, $30.) Ways in which differences in intelligence affect American life."
0718184,"THE BELL CURVE, by Richard J. Herrnstein and Charles Murray. (Free Press, $30.) Ways in which differences in intelligence affect American life."
0718184,"Charles Murray and Richard Herrnstein produce evidence in their book ""The Bell Curve"" showing that the 15-point gap between white and black I.Q. scores remains even after controlling for all sorts of social factors. But there is one factor they do not discuss."
1019856,"Editorial Notebook by Michael M Weinstein says scholars have decisively shown the mistakes that riddle The Bell Curve, book whose genes-are-destiny thesis, laced with racial overtones, inflamed readers when it was published three years ago; says instead of surrendering to supposed genetic destiny for poor children, corrected message is that they can and should be taught (M)"
1019856,"Most serious scholars know that the conclusions drawn by Murray and Herrnstein from the data in ""The Bell Curve"" are bogus. The issue has been studied ad nauseam and the overwhelming consensus of experts in the field is that environmental conditions account for most of the disparity when the test results of large groups are compared."
1019856,"Also compelling is evidence about the second notable error -- that the authors' measure of intelligence is by no means immutable, as their thesis requires. Prof. Derek Neal of the University of Chicago and Prof. William Johnson of the University of Virginia have shown that scores on the measurement used by Mr. Herrnstein and Mr. Murray, the Armed Forces Qualification Test, depend on how much schooling individuals have completed. Put simply, the more students study in school, the better they do on the test. So what the authors call immutable intelligence turns out to be what others call skills -- indeed, teachable skills."
1019856,"The book has already ignited bitter controversy, and that is no surprise. It declares settled what many regard as an unresolved argument over whether I.Q.'s have scientific merit. Moreover, Mr. Murray's record as a political ideologue who uses social science data to support his policy preferences touches a tender spot in American intellectual history on the issue of race and intelligence."
0971372,"''The Bell Curve'' inflamed readers when it was published three years ago by arguing that economic and social success in America had become largely a matter of genes, not education, environment or other factors over which society might exert control. The chilling genes-are-destiny thesis, laced with racial overtones, was greeted with furious criticism. But much of the initial criticism was ill informed and driven by ideology."
0971372,"The book has already ignited bitter controversy, and that is no surprise. It declares settled what many regard as an unresolved argument over whether I.Q.'s have scientific merit. Moreover, Mr. Murray's record as a political ideologue who uses social science data to support his policy preferences touches a tender spot in American intellectual history on the issue of race and intelligence."
1498933,"The question now is whether, in his zeal to shatter taboos, Murray has finally gone too far. Murray was dropped from the Manhattan Institute, the think tank that had underwritten ""Losing Ground,"" as soon as he began the new book. In an interview at the time, William Hammett, the institute's president, alternately praised Murray's integrity and worried that the book would broach ""the genetic inferiority stuff."" Murray quickly affiliated with the American Enterprise Institute in Washington. The Boston Globe began denouncing ""The Bell Curve"" this summer, months before it was publicly available. An article quoted scholars speculating that the book was based on pseudoscience, while the editorial page attacked the book's ""high ignorance quotient."""
0716812,"9. THE BELL CURVE by Richard J. Herrnstein and Charles Murray. (Free Press, $30."
0716812,"In ""The Bell Curve,"" Charles Murray himself admits that the right environment can raise I.Q. Can he not see then that a disadvantaged environment can eat away at a young person's ability to learn? In America, racism and class prejudice have subjected entire populations to disadvantaged environments. Rather than stigmatize them, Mr. Murray should call for sensible action."
0716812,"In the book, Dr. Herrnstein and his co-author, Charles Murray, a political analyst at the American Enterprise Institute, a conservative research group in Washington, contend that I.Q. is linked to economic success, criminality and being dependent on welfare. They argue that since I.Q. is fixed by genetics, it cannot be changed meaningfully by environment or learning."
0716812,"At least until the new book arrives. In Richard Herrnstein, Murray found his equal in two vital categories -- intelligence and shock value. Superficially, their backgrounds could not be more dissimilar. Herrnstein's parents were left-wing, Jewish immigrants from Hungary who raised him in a working-class neighborhood of the Bronx."
0716812,"He accuses two of them -- Dr. Richard Lewontin, a population geneticist at Harvard, and the late Dr. Stephen J. Gould, a historian of science -- of ''25 years of pointless attacks'' on Dr. Wilson and on Dr. Richard Dawkins, author of ''The Selfish Gene,'' for allegedly saying certain aspects of behavior are genetically determined."
0716812,"Others will question whether I.Q. really is, as Herrnstein and Murray assert, the all-encompassing measure of mental aptitude. One leading skeptic is Robert Sternberg, a Yale psychologist, who has pioneered the study of what he calls practical intelligence. He cites experiments among housewives who are failures at pad-and-pencil math but competent comparison shoppers when they hit the supermarket aisle. ""That's not to say I.Q. counts zero,"" he says. ""It's to say that there are other kinds of intelligence that are equally or maybe more important."""
0716812,Daring Research or 'Social Science Pornography'?: Charles Murray
0716812,"Though he was an acclaimed psychologist who held B. F. Skinner's former chair at Harvard, Herrnstein's notoriety stems from his nonacademic work. In 1971, he published an article in The Atlantic Monthly about the heritability of intelligence, famously predicting a future in which the ""the tendency to be unemployed may run in the genes of a family about as certainly as bad teeth do now."" Though Herrnstein dealt only peripherally with race, militant students branded him a racist, interrupted his lectures and, he said, threatened him with physical violence."
0716812,"Outrageousness, after all, has been good to Charles Murray. He was an unemployed Ph.D. stuck in a midlife crisis a decade ago when he produced ""Losing Ground,"" the book that eroded the assumptions guiding American social policy. With 236 pages of charts and tables, it lent an aura of scientific support to an old suspicion -- that welfare and other social programs cause more problems than they solve. Taking the thought a step further, Murray spoke the unspeakable: why not just abolish them all?"
0716812,"The reason for the unease is no mystery: theories of genetic differences have a long and ugly history, especially when it comes to race. Herrnstein and Murray acknowledge as much, and worry that their book, ""wrongly construed, might do harm."" They hedge their bet slightly, saying the evidence ""suggests, without quite proving, genetic roots"" for part of the black-white difference. They even call the debate over genes a distraction from more important issues. But once again Murray may be saying with scientific references and assurances of his own good will what others murmur darkly in barrooms and taxis. And his disclaimers are unlikely to mute critics."
0716812,"The genetic argument was repeated in a section of ''The Bell Curve'' (The Free Press, 1994 ) by Richard J. Herrnstein and Charles Murray. Other academics have offered a range of evidence to debunk their position, which caused an uproar. But Stephanie Robinson of the Education Trust, a nonprofit group in Washington that works with communities trying to raise test scores, says the book merely put into print notions hinted at elsewhere, from portrayals of blacks in film to banks' refusal to offer mortgages to those living in black neighborhoods."
0716812,"One group of skeptics will question whether intelligence is as newly influential, or as dominant, a force in American life as Herrnstein and Murray believe. They are almost certainly right that the intelligent person can rise more easily today than a century ago. But brains have always helped, even before such gifts could be measured at the end of a No. 2 pencil. Witness Huck Finn."
0716812,"THE BELL CURVE, by Richard J. Herrnstein and Charles Murray. (Free Press, $30.) Ways in which differences in intelligence affect American life."
0716812,"""It's where Charles Murray wrote 'The Bell Curve,' "" said Ms. Forbes, who is researching the effect of religion on politics."
0716812,"(St. Martin's, $16.95.) A collection of tales. 10 * 8 13 THE BELL CURVE, by Richard J. Herrnstein and Charles Murray."
0716812,"""Murray and Herrnstein just ignored the evidence,"" said James Heckman, an economist at the University of Chicago. ""They are 180 degrees off course."""
0734680,"Q. About Herrnstein and Murray's ""Bell Curve,"" how would you summarize your critique of their book?"
0734680,"One of those others is William Shockley, a memorable nut who argued a quarter-century ago in favor of sterilizing those with low I.Q.'s.  Shockley receives only one guarded paragraph in the 845 pages of ""The Bell Curve."" Yet his old pronouncements are everywhere."
0719208,"To some degree, their resistance was based on moral qualms. From the late 19th-century social Darwinists, who invoked evolution to justify nationalism, war and poverty, to more recent thinkers like Richard J. Herrnstein and Charles Murray, whose 1994 book ''The Bell Curve'' linked intelligence, race and genes, biological accounts of human affairs have frequently been accused of being simplistic and biased."
